page,image_index,file_name,source_name,bytes,sha256,path,unique_path
1,1,page-01-image-01.png,X5.png,1620906,136aa5dddecaaaf1e77066f9eb2331d4c08d1525683e228c0d9451ebb6792a50,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-01.png,D:\git\outputs\pdf\site_image_0616\unique_images\136aa5dddecaaaf1.png
1,2,page-01-image-02.png,X7.png,268738,529aae145785a61bb481da1d8f2d39473a9129e34fe37eadf14ed388dbf75f0e,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-02.png,D:\git\outputs\pdf\site_image_0616\unique_images\529aae145785a61b.png
1,3,page-01-image-03.png,X8.png,10773,a2c98fddd6f2e2944f07d634c3c6d7b7b8850c22a4666a4190c37b8993dce373,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-03.png,D:\git\outputs\pdf\site_image_0616\unique_images\a2c98fddd6f2e294.png
1,4,page-01-image-04.png,X10.png,8783,6d85e3429eb6901267c92aeb7792cc4be9f274fe16c28a40b7fd271cfb7b9a52,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-04.png,D:\git\outputs\pdf\site_image_0616\unique_images\6d85e3429eb69012.png
1,5,page-01-image-05.png,X12.png,8851,7f99db3c737670b256d8bee68e546847d788f02e00488011731b9b23ea9d1006,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-05.png,D:\git\outputs\pdf\site_image_0616\unique_images\7f99db3c737670b2.png
1,6,page-01-image-06.png,X14.png,37211,a2996eba34e776edc9b272ae8cc4498b73b2f29c6c4023a2f50673b3f2b4eaec,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-06.png,D:\git\outputs\pdf\site_image_0616\unique_images\a2996eba34e776ed.png
1,7,page-01-image-07.png,X16.png,11022,d14ba90dccb9d4143d31139dd3af8221bcea6df2c32e610a03113fd48137843d,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-07.png,D:\git\outputs\pdf\site_image_0616\unique_images\d14ba90dccb9d414.png
1,8,page-01-image-08.png,X18.png,31408,4c26da790269d6bac36cc1e86a609ebc37c8e7319a8bd8821d12b5e675a26066,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-08.png,D:\git\outputs\pdf\site_image_0616\unique_images\4c26da790269d6ba.png
1,9,page-01-image-09.png,X20.png,6470,6ba4c810501b9a731d75dd73c78f5ca274e2b11ff190ac8ffa25c12e7f21dc49,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-09.png,D:\git\outputs\pdf\site_image_0616\unique_images\6ba4c810501b9a73.png
1,10,page-01-image-10.png,X22.png,381259,5ff3973c8b081b261d8ecd72180803eef571293618c445ce994c098ef15d9057,D:\git\outputs\pdf\site_image_0616\embedded_images\page-01\page-01-image-10.png,D:\git\outputs\pdf\site_image_0616\unique_images\5ff3973c8b081b26.png
